stockCode,stockName,changeReason,changeDate
000021,深科技A,简称变更,2006-10-09 00:00:00
000021,G深科技,简称变更,2006-05-22 00:00:00
000021,深科技A,新上市,1994-02-02 00:00:00
000022,招商港口,重大资产重组,2018-12-26 00:00:00
000022,深赤湾A,已完成股权分置改革。,2006-10-09 00:00:00
000022,G深赤湾,完成股改,2006-05-30 00:00:00
000022,深赤湾A,上市,1993-05-05 00:00:00
000023,*ST深天,实施退市风险警示,2024-05-06 00:00:00
000023,ST深天,实施其他风险警示,2023-05-05 00:00:00
000023,深天地A,简称变更,2006-10-09 00:00:00
000023,G深天地,简称变更,2006-03-17 00:00:00
000023,深天地A,新上市,1993-04-29 00:00:00
000024,招商地产,简称变更,2006-10-09 00:00:00
000024,G招商局,简称变更,2006-02-09 00:00:00
000024,招商地产,简称变更,2004-06-24 00:00:00
000024,招商局A,简称变更,2000-07-28 00:00:00
000024,深招港A,新上市,1993-06-07 00:00:00
000025,特力A,简称变更,2006-10-09 00:00:00
000025,G特力A,撤销其他风险警示,2006-03-08 00:00:00
000025,GST特力A,完成股权分置改革,2006-01-04 00:00:00
000025,ST特力A,实施其他风险警示,2000-04-19 00:00:00
000025,深特力A,新上市,1993-06-21 00:00:00
000026,飞亚达,简称变更,2020-01-13 00:00:00
000026,飞亚达A,简称变更,2007-11-09 00:00:00
000026,S飞亚达A,未完成股改公司冠以“S”标记,2006-10-09 00:00:00
000026,飞亚达A,新上市,1993-06-03 00:00:00
000027,深圳能源,简称变更,2007-12-20 00:00:00
000027,深能源A,简称变更,2006-10-09 00:00:00
000027,G深能源,简称变更,2006-04-26 00:00:00
000027,深能源A,新上市,1993-09-03 00:00:00
000028,国药一致,简称变更,2012-01-04 00:00:00
000028,一致药业,简称变更,2006-10-09 00:00:00
000028,G一致,简称变更,2006-04-28 00:00:00
000028,一致药业,简称变更,2001-06-22 00:00:00
000028,深益力A,新上市,1993-08-09 00:00:00
000029,深深房A,简称变更,2006-10-09 00:00:00
000029,G深深房,简称变更,2006-02-17 00:00:00
000029,深深房A,新上市,1993-09-15 00:00:00
000030,富奥股份,变更英文简称,2016-11-04 00:00:00
000030,富奥股份,撤销退市风险警示,2013-04-24 00:00:00
000030,*ST盛润A,实施退市风险警示,2009-04-09 00:00:00
000030,ST盛润A,简称变更,2008-12-29 00:00:00
000030,SST盛润,撤销退市风险警示及实施其他风险警示,2008-10-31 00:00:00
000030,S*ST盛润,未完成股改公司冠以“S”标记,2006-10-09 00:00:00
000030,*ST盛润A,实施退市风险警示,2006-04-04 00:00:00
000030,ST盛润A,撤销退市风险警示及实施其他风险警示,2004-04-20 00:00:00
000030,*ST盛润A,实施退市风险警示,2003-05-12 00:00:00
000030,ST盛润A,简称变更,2002-07-19 00:00:00
000030,ST英达A,实施其他风险警示,1998-06-15 00:00:00
000030,莱英达A,新上市,1993-09-29 00:00:00
000031,大悦城,简称变更,2019-03-27 00:00:00
000031,中粮地产,已完成股改公司恢复股改前简称,2006-10-09 00:00:00
000031,G中粮地,简称变更,2006-04-25 00:00:00
000031,G宝恒,简称变更,2006-02-14 00:00:00
000031,深宝恒A,新上市,1993-10-08 00:00:00
000032,深桑达A,简称变更,2006-10-09 00:00:00
000032,G深桑达,简称变更,2006-02-07 00:00:00
000032,深桑达A,新上市,1993-10-28 00:00:00
000033,新都退,进入退市整理期,2017-05-24 00:00:00
000033,*ST新都,实施退市风险警示,2014-05-05 00:00:00
000033,新都酒店,已完成股改公司恢复股改前简称,2006-10-09 00:00:00
000033,G新都,简称变更,2006-04-13 00:00:00
000033,新都酒店,撤销特别处理,2002-04-17 00:00:00
000033,ST新都,实施其他风险警示,2001-05-08 00:00:00
000033,深新都A,新上市,1994-01-03 00:00:00
000034,神州数码,变更公司名称,2016-04-25 00:00:00
000034,深信泰丰,撤销其他特别处理,2011-04-01 00:00:00
000034,ST深泰,撤销退市风险警示及实施其他风险警示,2010-09-14 00:00:00
000034,*ST深泰,实施退市风险警示,2009-04-29 00:00:00
000034,ST深泰,简称变更,2008-07-14 00:00:00
000034,SST深泰,撤销退市风险警示及实施其他风险警示,2007-08-21 00:00:00
000034,S*ST深泰,未完成股改公司冠以“S”标记,2006-10-09 00:00:00
000034,*ST深泰,实施退市风险警示,2006-04-28 00:00:00
000034,ST深泰,实施其他风险警示,2005-05-10 00:00:00
000034,深信泰丰,公司更名,2001-03-05 00:00:00
000034,深华宝A,撤销其他风险警示,2001-01-18 00:00:00
000034,ST深华宝,实施特别处理,1999-04-30 00:00:00
000034,深华宝A,新上市,1994-05-09 00:00:00
000035,中国天楹,变更公司名称,2014-06-24 00:00:00
000035,中科健,撤销退市风险警示,2014-04-22 00:00:00
000035,*ST科健,实施退市风险警示,2011-10-12 00:00:00
000035,ST科健,撤销退市风险警示及实施其他风险警示,2011-08-11 00:00:00
000035,*ST科健,实施退市风险警示,2010-04-28 00:00:00
000035,ST科健,撤销退市风险警示及实施其他风险警示,2007-06-15 00:00:00
000035,*ST科健,简称变更,2007-01-16 00:00:00
000035,S*ST科健,未完成股改公司冠以“S”标记,2006-10-09 00:00:00
000035,*ST科健,实施退市风险警示,2006-05-09 00:00:00
000035,ST科健,撤销退市风险警示及实施其他风险警示,2005-09-02 00:00:00
000035,*ST科健,实施退市风险警示,2005-07-01 00:00:00
000035,中科健A,新上市,1994-04-08 00:00:00
000036,华联控股,撤销退市风险警示及其他特别处理,2010-06-04 00:00:00
000036,*ST华控,实施退市风险警示,2009-04-29 00:00:00
000036,华联控股,已完成股改公司恢复股改前简称,2006-10-09 00:00:00
000036,G华联,简称变更,2006-03-28 00:00:00
000036,华联控股,公司更名,2000-09-07 00:00:00
000036,深惠中A,新上市,1994-06-17 00:00:00
000037,深南电A,撤销退市风险警示,2017-04-17 00:00:00
000037,*ST南电A,实行退市风险警示,2016-04-05 00:00:00
000037,深南电A,简称变更,2006-10-09 00:00:00
000037,G南电,简称变更,2006-03-28 00:00:00
000037,深南电A,新上市,1994-07-01 00:00:00
000038,大通退,进入退市整理期,2023-06-19 00:00:00
000038,*ST大通,实施退市风险警示,2022-05-06 00:00:00
000038,深大通,撤销退市风险警示,2013-05-14 00:00:00
000038,*ST大通,简称变更,2009-05-04 00:00:00
000038,S*ST大通,未完成股改公司冠以“S”标记,2006-10-09 00:00:00
000038,*ST大通,实施退市风险警示,2006-05-09 00:00:00
000038,深大通A,撤销其他风险警示,2001-04-06 00:00:00
000038,ST深大通,实施其他风险警示,2000-04-11 00:00:00
000038,深大通A,新上市,1994-08-08 00:00:00
000039,中集集团,已完成股改公司恢复股改前简称,2006-10-09 00:00:00
000039,G中集,简称变更,2006-05-24 00:00:00
000039,中集集团,简称变更,1997-04-12 00:00:00
000039,深中集A,新上市,1994-04-08 00:00:00
000040,*ST旭蓝,实施退市风险警示,2025-03-07 00:00:00
000040,ST旭蓝,实施其他风险警示,2024-07-09 00:00:00
000040,东旭蓝天,简称变更,2016-07-15 00:00:00
000040,宝安地产,简称变更,2011-06-20 00:00:00
000040,深鸿基,简称变更,2006-10-09 00:00:00
000040,G深鸿基,简称变更,2006-02-28 00:00:00
000040,深鸿基A,撤销其他风险警示,2005-05-26 00:00:00
000040,ST鸿基,撤销退市风险警示及实施其他风险警示,2004-05-10 00:00:00
000040,*ST鸿基,实施退市风险警示,2003-05-12 00:00:00
000040,ST鸿基,实施其他风险警示,2003-04-18 00:00:00
000040,深鸿基A,新上市,1994-08-08 00:00:00
000042,中洲控股,公司更名,2014-03-14 00:00:00
000042,深长城,简称变更,2006-10-09 00:00:00
000042,G深长城,简称变更,2006-09-01 00:00:00
000042,深长城A,新上市,1994-09-21 00:00:00
000043,中航善达,变更公司名称,2018-06-01 00:00:00
000043,中航地产,"公司已于近期办妥公司名称变更的工商登记手续，并领取了新的营业执照，公司申请并经深圳证券交易所批准，公司股票简称由""深南光A""变更为""中航地产""，公司股票证券代码不变，仍为""000043""。",2007-11-30 00:00:00
000043,深南光A,已完成股改公司恢复股改前简称,2006-10-09 00:00:00
000043,G深南光,完成股改,2006-04-11 00:00:00
000043,深南光A,上市,1994-09-28 00:00:00
000045,深纺织A,简称变更,2006-10-09 00:00:00
000045,G深纺A,简称变更,2006-09-11 00:00:00
000045,深纺织A,新上市,1994-08-15 00:00:00
000046,*ST泛海,实施退市风险警示,2023-05-05 00:00:00
000046,泛海控股,公司更名,2014-04-30 00:00:00
000046,泛海建设,已完成股改公司恢复股改前简称,2006-10-09 00:00:00
000046,G泛海,简称变更,2006-03-24 00:00:00
000046,泛海建设,公司更名,2005-12-10 00:00:00
000046,光彩建设,公司更名,1999-08-04 00:00:00
000046,南油物业,简称变更,1997-12-31 00:00:00
000046,深南物A,新上市,1994-09-12 00:00:00
000047,ST中侨,实施其他风险警示,2001-04-09 00:00:00
000047,深中侨A,新上市,1994-10-21 00:00:00
000048,京基智农,变更公司名称及证券简称,2020-04-09 00:00:00
000048,康达尔,撤销退市风险警示,2019-10-15 00:00:00
000048,*ST康达,实施退市风险警示,2018-07-02 00:00:00
000048,康达尔,撤销其他风险警示,2012-05-31 00:00:00
000048,ST康达尔,撤销退市风险警示并实施其他特别处理,2008-05-20 00:00:00
000048,*ST康达,实施退市风险警示,2007-04-26 00:00:00
000048,康达尔A,简称变更,2006-10-09 00:00:00
000048,G康达尔,简称变更,2006-02-14 00:00:00
000048,康达尔A,撤销其他风险警示,2005-05-13 00:00:00
000048,ST康达尔,公司更名,2001-10-29 00:00:00
000048,ST中科,实施其他风险警示,2001-05-08 00:00:00
000048,中科创业,公司更名,1999-12-13 00:00:00
000048,康达尔A,新上市,1994-11-01 00:00:00
000049,德赛电池,已完成股改公司恢复股改前简称,2006-10-09 00:00:00
000049,G德赛,简称变更,2005-12-27 00:00:00
000049,德赛电池,公司更名,2005-06-28 00:00:00
000049,深万山,撤销其他风险警示,2005-03-16 00:00:00
000049,ST万山,实施其他风险警示,2004-02-12 00:00:00
000049,ST万山,实施特别处理,2004-02-11 00:00:00
000049,深万山A,撤销其他风险警示,1999-06-10 00:00:00
000049,ST深万山,实施特别处理,1998-06-10 00:00:00
000049,深万山A,新上市,1995-03-20 00:00:00
000050,深天马A,简称变更,2006-10-09 00:00:00
000050,G深天马,简称变更,2006-04-26 00:00:00
000050,深天马A,新上市,1995-03-15 00:00:00
000055,方大集团,,2010-01-22 00:00:00
000055,方大A,简称变更,2006-10-09 00:00:00
000055,G方大A,简称变更,2006-04-10 00:00:00
000055,方大A,简称变更,2002-05-08 00:00:00
000055,深圳方大,上市,1996-04-15 00:00:00
000056,皇庭国际,变更公司名称,2015-09-18 00:00:00
000056,深国商,撤销退市风险警示,2014-03-31 00:00:00
000056,*ST国商,实施退市风险警示,2012-04-23 00:00:00
000056,深国商,简称变更,2006-10-09 00:00:00
000056,G深国商,简称变更,2006-01-06 00:00:00
000056,深国商A,新上市,1996-07-08 00:00:00
000058,深赛格,撤销其他风险警示,2009-06-30 00:00:00
000058,ST赛格,撤销退市风险警示及实施其他风险警示,2008-05-20 00:00:00
000058,*ST赛格,实施退市风险警示,2007-04-27 00:00:00
000058,深赛格,简称变更,2006-10-09 00:00:00
000058,G赛格,简称变更,2006-06-14 00:00:00
000058,深赛格,新上市,1996-12-26 00:00:00
000059,华锦股份,撤销股票交易退市风险警示,2016-04-20 00:00:00
000059,*ST华锦,实施退市风险警示,2015-04-15 00:00:00
000059,华锦股份,公司更名,2014-03-05 00:00:00
000059,华锦股份,简称变更,2014-03-04 00:00:00
000059,辽通化工,已完成股改公司恢复股改前简称,2006-10-09 00:00:00
000059,G辽通,简称变更,2005-10-25 00:00:00
000059,辽通化工,上市,1997-01-30 00:00:00
000060,中金岭南,已完成股改公司恢复股改前简称,2006-10-09 00:00:00
000060,G中金,简称变更,2005-11-18 00:00:00
000060,中金岭南,公司更名,2000-05-17 00:00:00
000060,有色中金,上市,1997-01-23 00:00:00
000061,农产品,简称变更,2006-10-09 00:00:00
000061,G农产品,简称变更,2005-09-12 00:00:00
000061,农产品,新上市,1997-01-10 00:00:00
000062,深圳华强,已完成股改公司恢复股改前简称,2006-10-09 00:00:00
000062,G华强,简称变更,2006-05-15 00:00:00
000062,深圳华强,上市,1997-01-30 00:00:00
000063,中兴通讯,已完成股改公司恢复股改前简称,2006-10-09 00:00:00
000063,G中兴,简称变更,2005-12-29 00:00:00
000063,中兴通讯,上市,1997-11-18 00:00:00
000065,北方国际,已完成股改公司恢复股改前简称,2006-10-09 00:00:00
000065,G北方,简称变更,2005-11-11 00:00:00
000065,北方国际,公司更名,2001-03-21 00:00:00
000065,深圳西林,上市,1998-06-05 00:00:00
000066,中国长城,公司更名,2017-03-29 00:00:00
000066,长城电脑,已完成股改公司恢复股改前简称,2006-10-09 00:00:00
000066,G长城,简称变更,2006-05-15 00:00:00
000066,长城电脑,上市,1997-06-26 00:00:00
000068,华控赛格,撤销股票交易退市风险警示,2016-04-12 00:00:00
000068,*ST华赛,实施退市风险警示,2015-03-25 00:00:00
000068,华控赛格,撤销其他风险警示,2013-05-21 00:00:00
000068,ST华赛,简称变更,2013-03-13 00:00:00
000068,ST三星,实施其他风险警示,2010-04-01 00:00:00
000068,赛格三星,股权分置改革,2008-01-14 00:00:00
000068,S三星,简称变更,2006-10-09 00:00:00
000068,赛格三星,公司更名,1998-10-08 00:00:00
000068,赛格中康,上市,1997-06-11 00:00:00
000069,华侨城A,简称变更,2006-10-09 00:00:00
000069,G华侨城,简称变更,2006-01-06 00:00:00
000069,华侨城A,新上市,1997-09-10 00:00:00
000070,特发信息,撤销其他风险警示,2025-07-09 00:00:00
000070,ST特信,实施其他风险警示,2024-05-14 00:00:00
000070,特发信息,简称变更,2006-10-09 00:00:00
000070,G特发,简称变更,2006-01-10 00:00:00
000070,特发信息,新上市,2000-05-11 00:00:00
000078,海王生物,已完成股改公司恢复股改前简称,2006-10-09 00:00:00
000078,G海王,简称变更,2006-04-13 00:00:00
000078,海王生物,上市,1998-12-18 00:00:00
000088,盐田港,简称变更,2006-10-09 00:00:00
000088,G盐田港,简称变更,2006-03-17 00:00:00
000088,盐田港A,新上市,1997-07-28 00:00:00
000089,深圳机场,已完成股改公司恢复股改前简称,2006-10-09 00:00:00
000089,G深机场,简称变更,2005-12-16 00:00:00
000089,深圳机场,上市,1998-04-20 00:00:00
000090,天健集团,公司更名,2014-04-10 00:00:00
000090,深天健,简称变更,2006-10-09 00:00:00
000090,G天健,简称变更,2006-01-11 00:00:00
000090,深天健,新上市,1999-07-21 00:00:00
000096,广聚能源,已完成股改公司恢复股改前简称,2006-10-09 00:00:00
000096,G广聚,简称变更,2006-02-06 00:00:00
000096,广聚能源,上市,2000-07-24 00:00:00
000099,中信海直,已完成股改公司恢复股改前简称,2006-10-09 00:00:00
000099,G海直,简称变更,2006-02-07 00:00:00
000099,中信海直,上市,2000-07-31 00:00:00
000100,TCL科技,简称变更,2020-02-07 00:00:00
000100,TCL集团,撤销退市风险警示,2008-03-28 00:00:00
000100,*STTCL,实施退市风险警示,2007-05-08 00:00:00
000100,TCL集团,简称变更,2006-10-09 00:00:00
000100,GTCL集团,"完成股改,简称前加'G'用于区别其他未完成股改的公司",2006-04-20 00:00:00
000100,TCL集团,新上市,2004-01-30 00:00:00
000100,TCL集团,首次公开发行,2004-01-05 00:00:00
000150,*ST宜康,实施退市风险警示,2022-05-06 00:00:00
000150,宜华健康,变更公司名称,2015-02-09 00:00:00
000150,宜华地产,撤消退市风险警示的特别处理,2008-05-15 00:00:00
000150,*ST宜地,简称变更,2007-11-02 00:00:00
000150,S*ST宜地,变更简称,2007-10-19 00:00:00
000150,S*ST光电,实施退市风险警示,2007-04-04 00:00:00
000150,S光电,简称变更,2006-10-09 00:00:00
000150,光电股份,撤销退市风险警示及其他特别处理,2005-03-30 00:00:00
000150,*ST光电,实施退市风险警示,2004-03-24 00:00:00
000150,ST麦科特,实施特别处理,2002-04-30 00:00:00
000150,麦科特,新上市,2000-08-07 00:00:00
000151,中成股份,已完成股改公司恢复股改前简称,2006-10-09 00:00:00
000151,G中成,简称变更,2006-03-31 00:00:00
000151,中成股份,上市,2000-09-06 00:00:00
000153,丰原药业,已完成股改公司恢复股改前简称,2006-10-09 00:00:00
000153,G丰原药,简称变更,2006-01-13 00:00:00
000153,丰原药业,公司更名,2003-03-05 00:00:00
000153,新力药业,上市,2000-09-20 00:00:00
000155,川能动力,变更公司名称,2018-10-08 00:00:00
000155,川化股份,撤销公司股票交易退市风险警示,2017-12-18 00:00:00
000155,*ST川化,实施退市风险警示,2015-05-04 00:00:00
000155,ST川化,实施其他风险警示,2015-04-02 00:00:00
000155,川化股份,撤销退市风险警示,2013-06-06 00:00:00
000155,*ST川化,实施退市风险警示,2012-04-27 00:00:00
000155,川化股份,已完成股改公司恢复股改前简称,2006-10-09 00:00:00
000155,G川化,简称变更,2006-03-21 00:00:00
000155,川化股份,上市,2000-09-26 00:00:00
000156,华数传媒,公司更名并恢复上市,2012-10-19 00:00:00
000156,*ST嘉瑞,简称变更,2007-02-14 00:00:00
000156,S*ST嘉瑞,"未实施股改,",2006-10-09 00:00:00
000156,*ST嘉瑞,实施退市风险警示,2005-03-22 00:00:00
000156,嘉瑞新材,公司更名,2004-07-23 00:00:00
000156,安塑股份,上市,2000-09-06 00:00:00
000157,中联重科,已完成股改公司恢复股改前简称,2006-10-09 00:00:00
000157,G中联,简称变更,2006-07-14 00:00:00
000157,中联重科,上市,2000-10-12 00:00:00
000158,常山北明,公司更名,2017-10-27 00:00:00
000158,常山股份,已完成股改公司恢复股改前简称,2006-10-09 00:00:00
000158,G常山,简称变更,2006-01-13 00:00:00
000158,常山股份,上市,2000-07-24 00:00:00
000159,国际实业,已完成股改公司恢复股改前简称,2006-10-09 00:00:00
000159,G新国际,简称变更,2006-07-20 00:00:00
000159,国际实业,上市,2000-09-26 00:00:00
000166,申万宏源,新上市,2015-01-26 00:00:00
000166,申万宏源,换股吸收合并,2015-01-22 00:00:00
000301,东方盛虹,变更公司名称,2018-09-27 00:00:00
000301,东方市场,公司更名,2008-07-30 00:00:00
000301,丝绸股份,已完成股改公司恢复股改前简称,2006-10-09 00:00:00
000301,G丝绸,简称变更,2006-05-24 00:00:00
000301,丝绸股份,上市,2000-05-29 00:00:00
000333,美的集团,新上市,2013-09-18 00:00:00
